Local;Visitante;RESULTADO;Jornada;Clas L;PJ L;PG L;PE V;PP L;GF L;GC L;Ptos L;Clas V;PJ V;PG V;PE V;PP V;GF V;GC V;Ptos V;Alavés;Athletic;Atlético;Barcelona;Betis;Cádiz;Celta;Eibar;Elche;Getafe;Granada;Huesca;Levante;Osasuna;R. Madrid;R. Sociedad;Sevilla;Valencia;Valladolid;Villarreal;F com L;F rec L;TA rec L;TR rec L;F com L;F rec L;TA rec L;TR rec L
Alavés;Elche;2;6;17;5;1;1;3;3;6;4;19;4;1;0;3;2;5;3;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Eibar;Osasuna;0;6;11;4;2;0;2;5;4;6;13;5;1;2;2;3;7;5;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;
Getafe;Barcelona;1;6;16;3;1;1;1;1;3;4;15;5;0;4;1;2;4;4;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Granada;Sevilla;1;6;18;4;1;0;3;5;8;3;1;4;3;1;0;6;2;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;;;;;;;;
Huesca;Valladolid;0;6;9;5;2;1;2;5;6;7;10;4;2;1;1;6;8;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;;;;;;;;
Elche;Valencia;;7;14;5;2;0;3;4;5;6;20;5;1;0;4;5;10;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;;;;;;;;
Osasuna;Athletic;;7;7;6;3;0;3;7;9;9;1;6;3;2;1;10;2;11;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;
Barcelona;Real Madrid;;7;17;6;1;2;3;3;9;5;8;4;2;2;0;8;1;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Sevilla;Eibar;;7;3;5;3;1;1;6;3;10;5;6;3;1;2;6;6;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;
Atlético;Betis;;7;2;6;3;2;1;8;8;11;13;6;2;1;3;8;9;7;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Valladolid;Alavés;;7;18;6;1;1;4;3;8;4;12;4;2;1;1;3;3;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
